, Paciente meta_P300S01-lag1
Eventos coincidentes encontrados (sin tmin & tmax), 3994
IDs de los eventos, 2
Eventos coincidentes encontrados (con tmin:0 & tmax:0.8), 4040
IDs de los eventos, 12
getlabels Nohits -> epochs, 3333
getlabels Nohits -> Time, 201
getlabels Hits -> epochs, 671
getlabels Hits -> Time, 201
nohit_precision:, 0.908662900188324
nohit_recall:, 0.965
nohit_f1_score:, 0.935984481086324
nohit_support:, 1000
hit_precision:, 0.7535211267605634
hit_recall:, 0.5245098039215687
hit_f1_score:, 0.6184971098265896
hit_support:, 204
