, Paciente meta_P300S01-lag4
Eventos coincidentes encontrados (sin tmin & tmax), 3994
IDs de los eventos, 2
Eventos coincidentes encontrados (con tmin:0 & tmax:0.8), 4040
IDs de los eventos, 12
getlabels Nohits -> epochs, 3333
getlabels Nohits -> Time, 201
getlabels Hits -> epochs, 671
getlabels Hits -> Time, 201
nohit_precision:, 0.9899699097291875
nohit_recall:, 0.987
nohit_f1_score:, 0.9884827240861291
nohit_support:, 1000
hit_precision:, 0.9371980676328503
hit_recall:, 0.9509803921568627
hit_f1_score:, 0.9440389294403894
hit_support:, 204
